item_id,features,caracteristiques_voiture,Nom,Prix_CA,Prix_US,Compagne_Model,Livraison,Class
da44f53b-87fb-454e-8d5c-1f28b6d4d11f,"[ 1.24726905e-01  4.76362449e+02  9.77337618e-01  1.05105143e+04
  5.10251116e-01  2.93470604e+02  4.15656947e+04  6.44925568e+00
  9.17204014e+00  8.54125473e-04  3.85927078e+00 -4.09263647e-01
  9.94984182e-01  1.39557797e-05  1.78554023e+04  3.26000625e+04
  7.40206250e+03  1.50957087e-04  2.89549198e+01  1.64861298e+01
  1.13837362e+06  2.41863775e+00  7.89443359e+04  2.49021912e+00
  1.63199000e+05  4.99996948e+00  6.39996094e+02  1.26022768e-01
  4.75634530e+02  9.77643881e-01  1.06381921e+04  5.11331419e-01
  2.92591994e+02  4.20771340e+04  6.44095336e+00  9.12998258e+00
  8.61099707e-04  3.85082686e+00 -4.11090803e-01  9.95010908e-01
  1.39974118e-05  1.74111543e+04  3.21496836e+04  7.24229639e+03
  1.48546256e-04  2.83671322e+01  1.64712009e+01  2.62022075e+06
  5.69085646e+00  1.85749547e+05  2.49021912e+00  1.63199000e+05
  4.99996948e+00  6.39996094e+02  1.24940321e-01  4.76294131e+02
  9.77505251e-01  1.05873339e+04  5.08564036e-01  2.92400939e+02
  4.18730414e+04  6.45276523e+00  9.17433625e+00  8.46629776e-04
  3.86667504e+00 -4.08305922e-01  9.94918814e-01  1.40064485e-05
  1.76725059e+04  3.21496836e+04  7.33487598e+03  1.50032472e-04
  2.87379131e+01  1.64777489e+01  1.77033062e+06  3.79659677e+00
  1.23920914e+05  2.49021912e+00  1.63199000e+05  4.99996948e+00
  6.39996094e+02  1.26177173e-01  4.76876550e+02  9.76870383e-01
  1.03092892e+04  5.08266509e-01  2.96021958e+02  4.07602802e+04
  6.45401652e+00  9.19276516e+00  8.48958923e-04  3.86669862e+00
 -4.06825904e-01  9.94848649e-01  1.38363812e-05  1.78375176e+04
  3.35027695e+04  7.40107031e+03  1.52435314e-04  2.88417397e+01
  1.65063686e+01  1.11390450e+06  2.36575127e+00  7.72181172e+04
  2.49021912e+00  1.63199000e+05  4.99996948e+00  6.39996094e+02]","{'modele': 'up', 'marque': 'reason', 'annee': '1980', 'caracteristiques_techniques': 'The here prove past keep budget all.'}",1/8 2010 Rolls Royce Ghost Diamond Black Resin Car Model,"6 667,55 ","(4 899,95 $ US)",LiveCarModel.com,"Livraison à 217,72 $",1
9a853792-cf8e-460c-8391-90dd1dfb4eae,"[ 1.51142273e-02  1.35944735e+03  9.27424908e-01  9.36682823e+03
  4.15778797e-01  2.78461498e+02  3.61078656e+04  8.02171119e+00
  1.13810988e+01  5.50250223e-04  4.50634637e+00 -3.98125073e-01
  9.97942927e-01  2.54593524e-05  1.02557373e+04  1.87775215e+04
  4.38041895e+03  2.40259717e-04  2.23116703e+01  1.57013016e+01
  6.12939500e+05  3.95709276e+00  1.29159508e+05  2.49021912e+00
  1.63199000e+05  4.99996948e+00  6.39996094e+02  7.12247100e-03
  1.35808942e+03  9.24093335e-01  8.94682681e+03  4.03794544e-01
  2.77108931e+02  3.44292178e+04  8.21846148e+00  1.16833891e+01
  5.24212866e-04  4.54345044e+00 -4.03898001e-01  9.98399418e-01
  2.55849700e-05  1.02816602e+04  1.97087500e+04  4.38808643e+03
  2.53796461e-04  2.23989563e+01  1.57213717e+01  5.80766688e+05
  3.74397922e+00  1.22203484e+05  2.49021912e+00  1.63199000e+05
  4.99996948e+00  6.39996094e+02  1.47573957e-02  1.36002359e+03
  9.27594627e-01  9.39276241e+03  4.13460899e-01  2.79703694e+02
  3.62110261e+04  8.01530200e+00  1.13815843e+01  5.43157971e-04
  4.51378285e+00 -3.95981533e-01  9.97858999e-01  2.53466787e-05
  1.02257910e+04  1.90033867e+04  4.37108936e+03  2.36206906e-04
  2.22209435e+01  1.57041597e+01  6.54099562e+05  4.23066807e+00
  1.38089000e+05  2.49021912e+00  1.63199000e+05  4.99996948e+00
  6.39996094e+02  1.50448280e-02  1.35905494e+03  9.28308042e-01
  9.47944945e+03  4.15170270e-01  2.76451313e+02  3.65587429e+04
  8.00688332e+00  1.13067318e+01  5.50311257e-04  4.50555251e+00
 -4.00626735e-01  9.97964274e-01  2.56432304e-05  1.01082266e+04
  1.82832090e+04  4.32391162e+03  2.40861511e-04  2.20933762e+01
  1.56862431e+01  8.93590312e+05  5.84695530e+00  1.90844625e+05
  2.49021912e+00  1.63199000e+05  4.99996948e+00  6.39996094e+02]","{'modele': 'example', 'marque': 'listen', 'annee': '1981', 'caracteristiques_techniques': 'During production compare newspaper impact.'}",1/8 2009 Rolls-Royce RR Phantom Coupe Diamond Black Resin Car Model,"6 667,55 ","(4 899,95 $ US)",LiveCarModel.com,"Livraison à 217,72 $",0
2f042ca9-141c-40d8-98f2-67482e3cc997,"[ 5.44218053e-04  5.75142185e+02  9.50231975e-01  5.77741406e+03
  2.31436892e-01  2.61176982e+02  2.25345141e+04  8.84891049e+00
  1.33452452e+01  2.05955101e-04  5.10301091e+00 -3.04412855e-01
  9.95156186e-01  1.78004284e-05  1.60981328e+04  4.58341992e+04
  6.63575537e+03  2.42358903e-04  2.88889751e+01  1.64620991e+01
  8.59123750e+05  2.33940434e+00  7.63581562e+04  2.49021912e+00
  1.63199000e+05  4.99996948e+00  6.39996094e+02  4.59198786e-04
  5.81500267e+02  9.54493047e-01  6.38963409e+03  2.19786147e-01
  2.28121523e+02  2.49770361e+04  8.80542826e+00  1.33350539e+01
  1.98386436e-04  5.12484709e+00 -2.97179975e-01  9.94468516e-01
  2.03921027e-05  1.62701855e+04  3.57004688e+04  6.61672217e+03
  2.77407817e-04  3.05775795e+01  1.63442078e+01  1.29983275e+06
  3.57916641e+00  1.16823992e+05  2.49021912e+00  1.63199000e+05
  4.99996948e+00  6.39996094e+02  4.43833404e-04  5.76150779e+02
  9.47791681e-01  5.51697869e+03  2.23262805e-01  2.70388664e+02
  2.14917640e+04  8.87624465e+00  1.34361368e+01  1.99086346e-04
  5.11598262e+00 -3.00432483e-01  9.94954412e-01  1.71943830e-05
  1.59921484e+04  5.05541484e+04  6.61814014e+03  2.33048515e-04
  2.83770905e+01  1.64900932e+01  8.90824250e+05  2.42707920e+00
  7.92198672e+04  2.49021912e+00  1.63199000e+05  4.99996948e+00
  6.39996094e+02  4.99108380e-04  5.75822153e+02  9.56342848e-01
  6.59363610e+03  2.21476588e-01  2.55713605e+02  2.57987222e+04
  8.84806001e+00  1.33663299e+01  1.98336228e-04  5.12099714e+00
 -3.01755379e-01  9.94930396e-01  1.81762007e-05  1.60608809e+04
  3.80401523e+04  6.61069678e+03  2.45442119e-04  2.90452042e+01
  1.63981304e+01  1.08967100e+06  2.98221540e+00  9.73395156e+04
  2.49021912e+00  1.63199000e+05  4.99996948e+00  6.39996094e+02]","{'modele': 'relate', 'marque': 'past', 'annee': '2019', 'caracteristiques_techniques': 'Nor maybe almost sense current real.'}",1/18 HH Model Rolls-Royce Spectre Silk Blue/ Diamond Black,"979,66 ","(719,95 $ US)",LiveCarModel.com,"Livraison à 190,49 $",0
dea1c0aa-9922-4701-be04-69784350e23c,"[ 1.60485883e-03  2.55306690e+02  9.75791726e-01  5.27220882e+03
  5.04698609e-01  2.36920310e+02  2.08335286e+04  8.50422260e+00
  1.11621964e+01  7.96575189e-04  3.37543772e+00 -5.22991612e-01
  9.99748026e-01  1.57211907e-05  2.03636523e+04  6.31676797e+04
  8.19545410e+03  2.40608002e-04  3.37833786e+01  1.67499390e+01
  1.51122688e+06  2.64998984e+00  8.64956719e+04  2.49021912e+00
  1.63199000e+05  4.99996948e+00  6.39996094e+02  1.70775584e-03
  2.46858975e+02  9.78493146e-01  5.73837678e+03  4.79420200e-01
  2.33706799e+02  2.27066482e+04  8.40511873e+00  1.11700420e+01
  7.35958614e-04  3.45177439e+00 -5.06547995e-01  9.99652986e-01
  1.59306874e-05  2.02369453e+04  5.15065430e+04  8.14243506e+03
  2.41368907e-04  3.37607841e+01  1.67072124e+01  1.99818412e+06
  3.50194168e+00  1.13410383e+05  2.49018073e+00  1.61924000e+05
  4.99996901e+00  6.37496033e+02  1.47846796e-03  2.55367391e+02
  9.75408618e-01  5.19130494e+03  4.94305452e-01  2.35163816e+02
  2.05098524e+04  8.52451214e+00  1.12404396e+01  7.72372172e-04
  3.39655713e+00 -5.15933222e-01  9.99724674e-01  1.58378552e-05
  2.02439648e+04  6.25642969e+04  8.14908838e+03  2.44502473e-04
  3.37016487e+01  1.67485542e+01  1.91093988e+06  3.37146735e+00
  1.10044695e+05  2.49021912e+00  1.63199000e+05  4.99996948e+00
  6.39996094e+02  1.36732479e-03  2.61356976e+02  9.76089999e-01
  5.46439684e+03  4.86191568e-01  2.41665363e+02  2.15962304e+04
  8.58323894e+00  1.13546567e+01  7.51707780e-04  3.43596530e+00
 -5.13260163e-01  9.99729231e-01  1.54163208e-05  2.02508965e+04
  6.40563750e+04  8.17105859e+03  2.32952312e-04  3.33939667e+01
  1.67524204e+01  1.64065850e+06  2.88214254e+00  9.40731328e+04
  2.49021912e+00  1.63199000e+05  4.99996948e+00  6.39996094e+02]","{'modele': 'trip', 'marque': 'nation', 'annee': '2018', 'caracteristiques_techniques': 'Per respond international baby.'}",1/18 HH Model Rolls-Royce Spectre Metallic Rose Gold (Limit 50 Pieces ),"993,27 ","(729,95 $ US)",LiveCarModel.com,"Livraison à 190,49 $",0
8f63363e-34e8-45c4-9a3e-31de0e3ced80,"[ 1.37165655e-01  3.77739476e+02  9.69426608e-01  6.17768605e+03
  7.62392200e-01  2.53119705e+02  2.43330047e+04  4.87624397e+00
  6.14737452e+00  2.05823117e-03  2.27421481e+00 -6.09089191e-01
  9.97619634e-01  1.46569173e-05  2.02097910e+04  6.56330625e+04
  8.19338574e+03  1.92306194e-04  3.27492943e+01  1.67398796e+01
  1.50012688e+06  2.61147952e+00  8.52386875e+04  2.49021912e+00
  1.63199000e+05  4.99996948e+00  6.39996094e+02  1.36749573e-01
  3.62742177e+02  9.71012601e-01  6.25698646e+03  7.59378632e-01
  2.51681554e+02  2.46652036e+04  4.87432985e+00  6.17085252e+00
  2.04270910e-03  2.28738850e+00 -6.06706837e-01  9.97595916e-01
  1.47401934e-05  2.01450547e+04  6.05910977e+04  8.16695068e+03
  1.92956315e-04  3.27251091e+01  1.67313290e+01  1.75215900e+06
  3.06114030e+00  9.99156172e+04  2.49021912e+00  1.63199000e+05
  4.99996948e+00  6.39996094e+02  1.37069251e-01  3.78054368e+02
  9.69533526e-01  6.20453700e+03  7.60675316e-01  2.52533556e+02
  2.44400936e+04  4.87618377e+00  6.16927352e+00  2.04485888e-03
  2.28439191e+00 -6.07573572e-01  9.97619791e-01  1.46907441e-05
  2.01966855e+04  6.27071328e+04  8.18720068e+03  1.92514242e-04
  3.27577782e+01  1.67371616e+01  1.56317150e+06  2.72366261e+00
  8.89003438e+04  2.49021912e+00  1.63199000e+05  4.99996948e+00
  6.39996094e+02  1.37165506e-01  3.89931775e+02  9.68564159e-01
  6.20207664e+03  7.60008683e-01  2.54823899e+02  2.44183748e+04
  4.89057261e+00  6.17348859e+00  2.04760703e-03  2.29606021e+00
 -6.07447500e-01  9.97623913e-01  1.45594449e-05  2.01751680e+04
  6.86889844e+04  8.18621094e+03  1.90753577e-04  3.26246834e+01
  1.67422314e+01  1.53681112e+06  2.67661452e+00  8.73646953e+04
  2.49021912e+00  1.63199000e+05  4.99996948e+00  6.39996094e+02]","{'modele': 'interest', 'marque': 'note', 'annee': '2017', 'caracteristiques_techniques': 'Development every seat service.'}",Rolls Royce Cullinan Black SUV 1:18 Scale Diecast Model Car Hermes Orange Interior,"760,65 ","(559,00 $ US)",Lovecarstore,Livraison gratuite,1
5692f68e-bf0f-4f25-aad9-fd344ab2a2d2,"[ 6.98200619e-03  2.85763740e+02  9.70041736e-01  4.76895337e+03
  5.25420775e-01  2.07870480e+02  1.87900498e+04  8.07034142e+00
  1.08641110e+01  8.60836641e-04  3.57340680e+00 -4.94990444e-01
  9.99496309e-01  2.12548366e-05  1.74296152e+04  4.46487891e+04
  6.98850781e+03  2.97464954e-04  3.28881721e+01  1.64692936e+01
  1.39429525e+06  3.45848250e+00  1.12884867e+05  2.49021912e+00
  1.63199000e+05  4.99996948e+00  6.39996094e+02  6.36273003e-03
  2.86000134e+02  9.71341454e-01  4.98970847e+03  5.05396041e-01
  2.22955779e+02  1.96728337e+04  8.13632074e+00  1.10199627e+01
  8.06393289e-04  3.63882350e+00 -4.88386163e-01  9.99479718e-01
  1.98145444e-05  1.72935801e+04  4.51274180e+04  6.98653027e+03
  2.84019276e-04  3.18819942e+01  1.64965324e+01  1.25976325e+06
  3.11226940e+00  1.01584477e+05  2.49021912e+00  1.63199000e+05
  4.99996948e+00  6.39996094e+02  6.66693802e-03  2.86261912e+02
  9.70743507e-01  4.89192811e+03  5.19739191e-01  2.10060648e+02
  1.92814505e+04  8.09690704e+00  1.09193682e+01  8.37274689e-04
  3.59462045e+00 -4.92006873e-01  9.99486484e-01  2.10329163e-05
  1.73752500e+04  4.44529805e+04  6.97671484e+03  2.92541285e-04
  3.26818504e+01  1.64671116e+01  1.44387388e+06  3.58520532e+00
  1.17021102e+05  2.49021912e+00  1.63199000e+05  4.99996948e+00
  6.39996094e+02  6.88449497e-03  2.85309190e+02  9.68489549e-01
  4.52658123e+03  5.20744808e-01  1.97590347e+02  1.78210157e+04
  8.07670732e+00  1.08761937e+01  8.47511105e-04  3.58788699e+00
 -4.90590973e-01  9.99456786e-01  2.23625702e-05  1.73853672e+04
  4.45888945e+04  6.94100098e+03  3.09621944e-04  3.34005547e+01
  1.64561615e+01  1.75083638e+06  4.38626051e+00  1.43167547e+05
  2.49021912e+00  1.63199000e+05  4.99996948e+00  6.39996094e+02]","{'modele': 'day', 'marque': 'word', 'annee': '1983', 'caracteristiques_techniques': 'Movie stand enjoy fill program seven.'}",1/18 HH Model Rolls-Royce Spectre White/Black,"979,66 ","(719,95 $ US)",LiveCarModel.com,"Livraison à 190,49 $",1
1e2f54b1-c20f-4ffc-a9ca-c4d16061b057,"[ 6.70663319e-03  3.64442223e+02  9.70576628e-01  6.19232155e+03
  7.09729185e-01  3.01141177e+02  2.44048440e+04  7.69678834e+00
  9.27159832e+00  1.61856390e-03  2.46446152e+00 -6.55492968e-01
  9.99933291e-01  8.24818471e-06  2.93640879e+04  2.25700609e+05
  1.18502695e+04  1.49079002e-04  3.67576294e+01  1.73623734e+01
  3.35509050e+06  2.61107635e+00  8.52255391e+04  2.49021912e+00
  1.63199000e+05  4.99996948e+00  6.39996094e+02  7.02602100e-03
  3.66103348e+02  9.71969504e-01  6.52954373e+03  6.99980767e-01
  3.17199984e+02  2.57520716e+04  7.64735922e+00  9.32311156e+00
  1.57339546e-03  2.51023473e+00 -6.45954572e-01  9.99922418e-01
  7.83054656e-06  2.91884941e+04  2.55823500e+05  1.18417285e+04
  1.45141224e-04  3.58969612e+01  1.73748207e+01  2.93594025e+06
  2.27965546e+00  7.44079531e+04  2.49021912e+00  1.63199000e+05
  4.99996948e+00  6.39996094e+02  6.29466462e-03  3.63766267e+02
  9.70452557e-01  6.15487580e+03  7.06236716e-01  3.00266368e+02
  2.42557370e+04  7.71150984e+00  9.35703812e+00  1.59173933e-03
  2.47858513e+00 -6.51280157e-01  9.99932861e-01  8.27219992e-06
  2.93572559e+04  2.27995969e+05  1.18449600e+04  1.50770284e-04
  3.67884064e+01  1.73617077e+01  3.47022600e+06  2.70234585e+00
  8.82045703e+04  2.49021912e+00  1.63199000e+05  4.99996948e+00
  6.39996094e+02  6.35444802e-03  3.64786821e+02  9.70290803e-01
  6.13859860e+03  7.03930080e-01  2.96773807e+02  2.41896076e+04
  7.75975012e+00  9.37404850e+00  1.59056215e-03  2.49401130e+00
 -6.53567347e-01  9.99936873e-01  8.36967592e-06  2.94269844e+04
  2.07637047e+05  1.18571328e+04  1.50965920e-04  3.70173874e+01
  1.73593388e+01  3.39433925e+06  2.64233255e+00  8.62457344e+04
  2.49021912e+00  1.63199000e+05  4.99996948e+00  6.39996094e+02]","{'modele': 'join', 'marque': 'left', 'annee': '2015', 'caracteristiques_techniques': 'Natural always recently institution event.'}",Rolls Royce Dawn Convertible 1:18 Resin Model Car HH Model White,"1 166,15 ","(857,00 $ US)",Lovecarstore,Livraison gratuite,0
b9746827-0851-46f4-836c-f9c49486b5ac,"[ 2.33766576e-01  9.40630788e+02  9.40582549e-01  7.91433940e+03
  6.02275831e-01  3.77275055e+02  3.07167268e+04  5.46948207e+00
  7.85661817e+00  1.24722921e-03  3.54342439e+00 -3.81647311e-01
  9.86968461e-01  6.57977898e-06  2.82613340e+04  1.28844594e+05
  1.16848086e+04  8.30622448e-05  3.27960167e+01  1.74309635e+01
  3.80441600e+06  2.96384978e+00  9.67400547e+04  2.49021912e+00
  1.63199000e+05  4.99996948e+00  6.39996094e+02  2.38168639e-01
  9.44017648e+02  9.37865454e-01  7.59547314e+03  6.00269246e-01
  3.81464564e+02  2.94378749e+04  5.44476237e+00  7.85850244e+00
  1.24310240e-03  3.55186349e+00 -3.75240212e-01  9.85922734e-01
  6.50783204e-06  2.82469824e+04  1.36119453e+05  1.16901006e+04
  8.15522653e-05  3.26515236e+01  1.74452839e+01  3.55557450e+06
  2.76699352e+00  9.03146641e+04  2.49021912e+00  1.63199000e+05
  4.99996948e+00  6.39996094e+02  2.37808731e-01  9.48658372e+02
  9.37506519e-01  7.58893952e+03  5.97931486e-01  3.83115531e+02
  2.94070997e+04  5.45178100e+00  7.87267596e+00  1.22269523e-03
  3.57157000e+00 -3.73229017e-01  9.85693648e-01  6.47991101e-06
  2.81626602e+04  1.45539953e+05  1.16640674e+04  8.04472729e-05
  3.25168457e+01  1.74426842e+01  4.04301075e+06  3.15256953e+00
  1.02899867e+05  2.49021912e+00  1.63199000e+05  4.99996948e+00
  6.39996094e+02  2.34392560e-01  9.31247023e+02  9.49072093e-01
  9.14159235e+03  5.93390407e-01  3.64206072e+02  3.56351224e+04
  5.43000143e+00  7.81763001e+00  1.21198457e-03  3.58673713e+00
 -3.73976704e-01  9.85487145e-01  6.81479969e-06  2.81696133e+04
  9.54131016e+04  1.16189209e+04  8.48133204e-05  3.31217346e+01
  1.73776207e+01  5.52936250e+06  4.34082460e+00  1.41684516e+05
  2.49021912e+00  1.63199000e+05  4.99996948e+00  6.39996094e+02]","{'modele': 'fund', 'marque': 'pull', 'annee': '1996', 'caracteristiques_techniques': 'Who stand or catch.'}",Lego Rolls Royce Cullinan Suv 3161pcs 1:8 - Best lego car set | Targa Toys Remote ...,"280,30 ","(205,99 $ US)",Targatoys,Livraison gratuite d'ici le 14 déc. et retours gratuits dans les 31 jour(s),1
8a4834b1-c39a-414d-8ed1-7f41f11bdd04,"[ 3.92634829e-01  3.27686393e+02  9.68174164e-01  5.14708438e+03
  7.27109092e-01  4.18222528e+02  2.02606511e+04  4.17741064e+00
  5.78542310e+00  1.87830586e-03  2.53067078e+00 -4.69816567e-01
  9.84862634e-01  5.93816458e-06  2.79263418e+04  2.32450547e+05
  1.16607480e+04  6.52619710e-05  3.12744102e+01  1.75350132e+01
  2.92692775e+06  2.27160406e+00  7.41451562e+04  2.49021912e+00
  1.63199000e+05  4.99996948e+00  6.39996094e+02  3.96776778e-01
  3.26254765e+02  9.70045643e-01  5.44476597e+03  7.22816266e-01
  4.15817422e+02  2.14528091e+04  4.16531898e+00  5.78974188e+00
  1.86687025e-03  2.55049483e+00 -4.62166301e-01  9.83714307e-01
  5.97237931e-06  2.79262383e+04  2.32450547e+05  1.16553975e+04
  6.55793192e-05  3.13397388e+01  1.75273800e+01  3.13350225e+06
  2.43383980e+00  7.94405312e+04  2.49021912e+00  1.63199000e+05
  4.99996948e+00  6.39996094e+02  3.96060616e-01  3.29425083e+02
  9.72826680e-01  6.06036561e+03  7.23438234e-01  4.08687275e+02
  2.39120374e+04  4.16522934e+00  5.78329596e+00  1.85357238e-03
  2.55425510e+00 -4.64951840e-01  9.84122618e-01  6.07613674e-06
  2.79206445e+04  2.00857188e+05  1.16374365e+04  6.72394817e-05
  3.15311470e+01  1.75078468e+01  3.78092375e+06  2.94412041e+00
  9.60960938e+04  2.49021912e+00  1.63199000e+05  4.99996948e+00
  6.39996094e+02  3.98254484e-01  3.36637128e+02  9.56603006e-01
  3.87769879e+03  7.21264897e-01  4.37854291e+02  1.51741580e+04
  4.13883061e+00  5.76600577e+00  1.85538044e-03  2.56657596e+00
 -4.53892037e-01  9.82036746e-01  5.67294637e-06  2.77135957e+04
  3.55039812e+05  1.16257441e+04  6.26293477e-05  3.05554924e+01
  1.75668545e+01  3.05791300e+06  2.37423563e+00  7.74950469e+04
  2.49021912e+00  1.63199000e+05  4.99996948e+00  6.39996094e+02]","{'modele': 'despite', 'marque': 'call', 'annee': '1990', 'caracteristiques_techniques': 'Big and over help letter ground.'}",Eighth Generation Rolls Royce Phantom scale model cars manufacturers with Sound ...,"487,91 ","(358,56 $ US)",DHgate online store,Livraison gratuite,1
b5532c31-dd7c-43aa-9f3d-789a07e736a0,"[ 7.10679552e-02  5.27053415e+02  9.60998190e-01  6.75548201e+03
  5.64485233e-01  3.80313459e+02  2.64948746e+04  6.60037774e+00
  9.12551656e+00  1.06349826e-03  3.65008095e+00 -4.56467270e-01
  9.97447127e-01  9.50798494e-06  1.94018711e+04  9.98885547e+04
  8.20350391e+03  1.17526404e-04  2.70950909e+01  1.69248524e+01
  1.65480075e+06  2.73271775e+00  8.91959141e+04  2.49021912e+00
  1.63199000e+05  4.99996948e+00  6.39996094e+02  6.33160491e-02
  5.38788875e+02  9.67866023e-01  8.38213080e+03  5.51120530e-01
  3.56855241e+02  3.29897343e+04  6.62965712e+00  9.21723061e+00
  1.02377299e-03  3.70444631e+00 -4.47978137e-01  9.97227614e-01
  1.01296218e-05  1.94701016e+04  6.69418438e+04  8.18663574e+03
  1.32029832e-04  2.78059731e+01  1.68543472e+01  2.24299925e+06
  3.72548723e+00  1.21599906e+05  2.49021912e+00  1.63199000e+05
  4.99996948e+00  6.39996094e+02  7.64128633e-02  5.32199868e+02
  9.59971133e-01  6.64632171e+03  5.61728911e-01  3.85284181e+02
  2.60530870e+04  6.53772068e+00  9.08320973e+00  1.05517613e-03
  3.66939717e+00 -4.47705591e-01  9.97019991e-01  9.38595531e-06
  1.93528184e+04  1.11427805e+05  8.19404199e+03  1.15552655e-04
  2.69099121e+01  1.69302158e+01  1.70670000e+06  2.81954885e+00
  9.20300703e+04  2.49021912e+00  1.63199000e+05  4.99996948e+00
  6.39996094e+02  7.40216092e-02  5.39529334e+02  9.62707294e-01
  7.23223778e+03  5.57926588e-01  3.79121200e+02  2.83894218e+04
  6.53038723e+00  9.06086626e+00  1.04775415e-03  3.69216885e+00
 -4.42454642e-01  9.96723847e-01  9.53772451e-06  1.93002344e+04
  9.03168281e+04  8.16442090e+03  1.17276009e-04  2.70032158e+01
  1.69083672e+01  2.21587625e+06  3.67745900e+00  1.20032266e+05
  2.49021912e+00  1.63199000e+05  4.99996948e+00  6.39996094e+02]","{'modele': 'exist', 'marque': 'town', 'annee': '1974', 'caracteristiques_techniques': 'Me line cold decide somebody once opportunity.'}",1/8 VMB Rolls-Royce Mansory Cullinan (Black & Silver) Limited Resin Car Model,"6 531,48 ","(4 799,95 $ US)",LiveCarModel.com,"Livraison à 517,07 $",1
